date;time;latitude;longitude
18-03-2018;06:26;35.7124804;139.7730143
18-03-2018;06:29;35.7108683;139.7734797
18-03-2018;06:32;35.7115588;139.7743195
18-03-2018;06:39;35.6600501;139.7242468
18-03-2018;06:50;35.7120943;139.7965539
18-03-2018;06:59;35.7119118;139.7964916
18-03-2018;07:03;35.7125558;139.7964756
18-03-2018;07:07;35.7136063;139.7965642
18-03-2018;07:10;35.7138022;139.7967002
18-03-2018;07:14;35.7122312;139.7965648
18-03-2018;07:18;35.7143022;139.7964181
18-03-2018;07:20;35.7129039;139.7961481
18-03-2018;07:24;35.7141261;13.9794342
18-03-2018;07:27;35.7128353;139.7947133
18-03-2018;07:30;35.7127666;139.7964579
18-03-2018;07:34;35.7122409;139.7970988
18-03-2018;07:40;35.7121195;139.7970809
18-03-2018;07:46;35.7114866;139.7963868
18-03-2018;08:11;35.7109311;139.7970033
18-03-2018;08:14;3.5711826;139.7964122
18-03-2018;08:20;35.6867243;139.7552484
18-03-2018;08:28;35.6552055;139.7099577
18-03-2018;08:34;35.6784193;139.7647223
18-03-2018;08:39;35.6670565;139.7594051
18-03-2018;08:54;35.6667952;139.7602578
18-03-2018;08:56;35.6694617;139.7622861
18-03-2018;09:00;35.6684409;139.7624867
18-03-2018;09:06;35.6696572;139.7627177
18-03-2018;09:17;35.6702748;139.7621039
18-03-2018;09:20;35.6695168;139.7631497
18-03-2018;09:23;35.6696049;13.9762463
18-03-2018;09:26;35.6712761;139.7650002
18-03-2018;09:29;35.6715169;139.7661554
18-03-2018;09:32;35.6730458;139.7673655
18-03-2018;09:35;35.6738361;13.9768287
18-03-2018;09:43;35.6756973;13.9769356
18-03-2018;09:48;35.6877266;139.7056805
18-03-2018;09:53;35.6898136;139.7638268
18-03-2018;09:59;35.6634301;139.7022597
18-03-2018;10:05;35.7069365;139.7777846
18-03-2018;10:15;35.6910953;139.7788651
18-03-2018;10:20;35.6914736;13.9779333
18-03-2018;10:32;35.6912865;139.7803372
18-03-2018;11:38;35.6912456;139.7792746
18-03-2018;11:47;35.6911648;139.7802796
18-03-2018;11:50;35.6986468;139.7740076
18-03-2018;11:52;35.6980649;139.7734518
18-03-2018;11:58;35.6979189;139.7740947
18-03-2018;12:09;35.6976556;139.7739728
18-03-2018;12:23;35.6983398;139.7748054
18-03-2018;12:26;35.6983115;139.7749453
18-03-2018;12:36;35.6983154;139.7749031
18-03-2018;12:53;35.6983321;139.7748472
18-03-2018;12:56;35.6983108;139.7749436
18-03-2018;13:18;35.6983097;139.7749476
18-03-2018;13:20;35.6977272;139.7741098
18-03-2018;13:24;35.6976704;139.7741438
18-03-2018;13:26;35.6983092;139.7749559
18-03-2018;13:39;35.6983445;139.7748005
18-03-2018;13:53;35.6983142;139.7749301
18-03-2018;13:57;35.6983116;13.9774943
18-03-2018;14:18;3.5697979;139.7740818
18-03-2018;14:21;35.6987535;13.9773887
18-03-2018;14:25;3.5697781;139.7742182
18-03-2018;14:31;35.6909536;139.7792046
18-03-2018;14:36;35.6912094;139.7806065
19-03-2018;02:31;35.6911736;139.7806128
19-03-2018;02:37;35.6908021;139.7784909
19-03-2018;02:43;35.6907987;13.9778539
19-03-2018;02:47;35.6710284;139.7699071
19-03-2018;03:06;35.6538735;139.7375503
19-03-2018;03:12;35.6710128;139.7221857
19-03-2018;03:17;35.6588377;139.7026684
19-03-2018;03:20;35.6589248;139.7028727
19-03-2018;03:38;35.6584695;139.7024963
19-03-2018;03:58;35.6590981;139.7025208
19-03-2018;04:03;35.6593008;139.7013006
19-03-2018;04:06;35.6594437;139.6998017
19-03-2018;04:07;35.6588917;139.7023389
19-03-2018;04:13;35.6597278;139.6996465
19-03-2018;04:15;35.6595621;139.6995767
19-03-2018;04:24;35.6597751;139.7001741
19-03-2018;04:27;35.6605701;139.7007922
19-03-2018;04:31;35.6599067;139.6999566
19-03-2018;04:36;35.6632656;13.9701146
19-03-2018;04:39;35.6634885;139.7017967
19-03-2018;04:43;35.6640661;13.9702601
19-03-2018;04:46;35.6635094;139.7018409
19-03-2018;04:49;35.6656392;13.9704718
19-03-2018;04:51;35.6663736;139.7058919
19-03-2018;04:54;35.6659029;139.7050775
19-03-2018;05:01;35.6682904;139.7077067
19-03-2018;05:04;35.6689394;139.7078259
19-03-2018;05:07;35.6699394;139.7083689
19-03-2018;05:10;35.6690656;139.7078598
19-03-2018;05:15;35.6690241;139.7078285
19-03-2018;05:25;35.6686088;139.7057472
19-03-2018;06:31;35.6696503;139.7082164
19-03-2018;06:44;3.5668301;139.7072638
19-03-2018;06:54;35.6689069;139.7078051
19-03-2018;07:13;35.6681254;1.3970701
19-03-2018;07:17;35.6691446;139.7059287
19-03-2018;07:20;35.6689574;139.7076072
19-03-2018;07:22;3.5671658;13.9707798
19-03-2018;07:25;35.6717038;139.7077643
