Time,Latitude,Longitude
21/03/2018 02:55,356651367,1397271722
21/03/2018 02:53,356646216,1397311548
21/03/2018 02:48,356627002,1397314554
21/03/2018 02:42,356620024,1397330196
21/03/2018 02:32,3568641,1397824349
21/03/2018 02:27,35686397,1397824467
21/03/2018 02:21,356864153,1397824301
21/03/2018 02:20,356909292,1397786286
21/03/2018 02:14,356911366,1397805851
21/03/2018 01:14,35691153,1397806498
20/03/2018 15:55,356911669,139780681
20/03/2018 15:27,356912275,1397805806
20/03/2018 15:24,356911749,1397792693
20/03/2018 15:21,356910528,1397794183
20/03/2018 15:16,356982279,1397743593
20/03/2018 15:14,356984809,1397743619
20/03/2018 14:02,356981107,1397741265
20/03/2018 14:00,356986871,1397739191
20/03/2018 13:57,356982588,1397743147
20/03/2018 13:54,356906853,1397791481
20/03/2018 13:50,356908019,1397784908
20/03/2018 13:46,356909074,1397787603
20/03/2018 13:43,356907306,1397804609
20/03/2018 13:39,356905868,1397797291
20/03/2018 13:37,356877493,1397810782
20/03/2018 13:30,356882999,1397806707
20/03/2018 12:40,356874459,1397813722
20/03/2018 12:28,356875827,1397811875
20/03/2018 12:25,35688039,1397798033
20/03/2018 12:23,356885965,139780547
20/03/2018 12:20,356911278,1397803749
20/03/2018 12:18,356892736,1397800466
20/03/2018 12:15,356898831,1397793903
20/03/2018 10:32,356911423,1397807509
20/03/2018 09:58,356913952,1397806379
20/03/2018 09:47,35690811,1397784922
20/03/2018 09:45,356905767,1397782904
20/03/2018 09:42,356906611,1397783708
20/03/2018 09:39,356890532,139786307
20/03/2018 09:27,356725035,1397621831
20/03/2018 09:21,356710177,1397510587
20/03/2018 09:15,356698957,1397095981
20/03/2018 09:10,356591911,1397007349
20/03/2018 09:06,356593302,1397006458
20/03/2018 09:01,356613104,1397003478
20/03/2018 08:55,356603657,1397006086
20/03/2018 08:27,356614228,1397003885
20/03/2018 08:23,356613983,1397003802
20/03/2018 08:22,356593244,13970063
20/03/2018 08:20,35660384,1397007885
20/03/2018 08:17,35659064,1397002026
20/03/2018 08:11,356587083,139700779
20/03/2018 08:03,356702346,1397170567
20/03/2018 08:00,356691648,1397159671
20/03/2018 07:58,356716395,1397129433
20/03/2018 07:08,356714082,139712689
20/03/2018 06:14,356721905,139712798
20/03/2018 06:10,35672392,1397127233
20/03/2018 06:04,356735603,1397125848
20/03/2018 06:02,35672536,1397126659
20/03/2018 05:59,356715,1397128667
20/03/2018 05:54,356716988,139713004
20/03/2018 05:50,356695953,1397162866
20/03/2018 05:40,356710057,1397221511
20/03/2018 05:35,356868346,1396948686
20/03/2018 05:25,356631033,1397318194
20/03/2018 05:20,356604999,1397293868
20/03/2018 05:18,356610992,1397295707
20/03/2018 05:15,35660148,1397299879
20/03/2018 05:09,356601662,1397298276
20/03/2018 05:04,356601873,1397298311
20/03/2018 03:21,356604667,1397290047
20/03/2018 03:09,356601811,1397298295
20/03/2018 02:53,356601716,1397299626
20/03/2018 02:48,356607062,1397296745
20/03/2018 02:36,356687636,1397441709
20/03/2018 02:31,356710255,1397698995
20/03/2018 02:23,356908635,1397785397
20/03/2018 02:16,356912099,1397805738
19/03/2018 17:33,356911825,1397806832
19/03/2018 15:56,356912641,1397806027
19/03/2018 15:49,35690593,1397803725
19/03/2018 13:59,356911305,1397806459
19/03/2018 13:56,356911461,13977936
19/03/2018 13:53,356907994,1397784912
19/03/2018 13:53,356912099,1397805738
19/03/2018 13:49,356966294,1397751436
19/03/2018 13:46,356960745,1397753535
19/03/2018 13:42,35712078,1397800718
19/03/2018 13:39,3568774,1397873413
19/03/2018 13:36,356876683,1397876927
19/03/2018 13:34,356873548,1397870729
19/03/2018 13:31,356876434,139787137
19/03/2018 13:28,356899482,1397849905
19/03/2018 13:26,356932234,1397851604
19/03/2018 13:25,35692241,139784904
19/03/2018 13:21,35693861,1397851236
19/03/2018 13:16,356965433,139785801
19/03/2018 13:14,356962177,1397855937
19/03/2018 13:05,356969309,1397860477
19/03/2018 12:01,356964444,1397854918
19/03/2018 11:48,356964795,1397859065
19/03/2018 11:44,356959235,1397853089
19/03/2018 11:41,356942102,1397833183
19/03/2018 11:39,356932328,1397823279
19/03/2018 11:38,356912305,139780263
